top_level_category,subcategories
accommodation,"[accommodation, beach_resort, bed_and_breakfast, cabin, campground, cottage, guest_house, health_retreats, holiday_rental_home, hostel, hotel, inn, lodge, motel, mountain_huts, resort, rv_park, service_apartments]"
active_life,"[active_life, adventure_sports_center, aerial_fitness_center, airsoft_fields, amateur_sports_league, amateur_sports_team, american_football_field, archery_range, atv_recreation_park, badminton_court, barre_classes, baseball_field, basketball_court, batting_cage, beach_equipment_rentals, beach_volleyball_club, beach_volleyball_court, bicycle_path, bike_rentals, bocce_ball_court, boot_camp, bowling_alley, boxing_class, boxing_club, boxing_gym, brazilian_jiu_jitsu_club, bubble_soccer_field, canoe_and_kayak_hire_service, cardio_classes, chinese_martial_arts_club, climbing_class, cycling_classes, dance_school, disc_golf_course, diving_center, driving_range, ems_training, equestrian_facility, esports_league, esports_team, fencing_club, fishing_club, fitness_trainer, flyboarding_center, football_club, free_diving_center, free_diving_instruction, futsal_field, go_kart_club, golf_club, golf_course, golf_instructor, gym, gymnastics_center, gymnastics_club, handball_court, hang_gliding_center, health_consultant, hockey_field, horse_racing_track, horse_riding, ice_skating_rink, indoor_golf_center, karate_club, kickboxing_club, kiteboarding, lawn_bowling_club, martial_arts_club, meditation_center, miniature_golf_course, muay_thai_club, nudist_clubs, paddle_tennis_club, paddleboarding_center, paddleboarding_lessons, pilates_studio, playground, pool_billiards, pool_hall, professional_sports_league, professional_sports_team, qi_gong_studio, race_track, racing_experience, racquetball_court, rock_climbing_gym, rock_climbing_instructor, roller_skating_rink, rowing_club, rugby_pitch, sailing_club, school_sports_league, school_sports_team, scooter_rental, scuba_diving_center, scuba_diving_instruction, self_defense_classes, shooting_range, skate_park, skating_rink, ski_and_snowboard_school, sky_diving, soccer_club, soccer_field, sport_equipment_rentals, sports_and_fitness_instruction, sports_and_recreation_rental_and_services, sports_and_recreation_venue, sports_club_and_league, squash_court, surf_lifesaving_club, surfing_school, swimming_instructor, swimming_pool, table_tennis_club, taekwondo_club, tai_chi_studio, tennis_court, trampoline_park, tubing_provider, volleyball_club, volleyball_court, wildlife_hunting_range, yoga_instructor, yoga_studio, zorbing_center]"
arts_and_entertainment,"[adult_entertainment, arcade, arts_and_entertainment, astrologer, attraction_farm, auditorium, bar_crawl, baseball_stadium, basketball_stadium, betting_center, bingo_hall, bookmakers, cabaret, carousel, casino, chamber_of_handicraft, choir, cinema, circus, club_crawl, comedy_club, country_club, country_dance_hall, cricket_ground, dance_club, dinner_theater, drive_in_theater, eatertainment, erotic_massage, escape_rooms, exhibition_and_trade_center, fair, farm, festival, film_festivals_and_organizations, football_stadium, fraternal_organization, general_festivals, glass_blowing, hockey_arena, holiday_market, indoor_playcenter, internet_cafe, jazz_and_blues, karaoke, laser_tag, makerspace, marching_band, music_festivals_and_organizations, music_venue, musical_band_orchestras_and_symphonies, mystic, opera_and_ballet, orchard, outdoor_movies, paint_and_sip, paintball, performing_arts, pick_your_own_farm, planetarium, poultry_farm, psychic, psychic_medium, ranch, rodeo, rugby_stadium, salsa_club, soccer_stadium, social_club, stadium_arena, strip_club, striptease_dancer, studio_taping, supernatural_reading, tennis_stadium, theaters_and_performance_venues, theatre, ticket_sales, topic_concert_venue, track_stadium, trade_fair, veterans_organization, virtual_reality_center, water_park, wildlife_sanctuary]"
attractions_and_activities,"[amusement_park, aquarium, architecture, art_gallery, art_museum, asian_art_museum, attractions_and_activities, atv_rentals_and_tours, aviation_museum, axe_throwing, backpacking_area, beach, beach_combing_area, boat_rental_and_training, boating_places, bobsledding_field, botanical_garden, bungee_jumping_center, canyon, cartooning_museum, castle, cave, challenge_courses_center, childrens_museum, civilization_museum, cliff_jumping_center, climbing_service, community_museum, computer_museum, contemporary_art_museum, costume_museum, crater, cultural_center, decorative_arts_museum, design_museum, dog_park, fishing_charter, flyboarding_rental, fort, fountain, go_kart_track, haunted_house, high_gliding_center, hiking_trail, history_museum, horseback_riding_service, hot_air_balloons_tour, hot_springs, jet_skis_rental, kiteboarding_instruction, lake, landmark_and_historical_building, lighthouse, lookout, marina, memorial_park, military_museum, modern_art_museum, monument, mountain_bike_parks, mountain_bike_trails, museum, national_museum, national_park, observatory, paddleboard_rental, palace, parasailing_ride_service, park, petting_zoo, photography_museum, plaza, rafting_kayaking_area, rock_climbing_spot, ruin, sailing_area, sand_dune, scavenger_hunts_provider, science_museum, sculpture_statue, ski_area, skyline, sledding_rental, snorkeling, snorkeling_equipment_rental, snowboarding_center, sports_museum, stargazing_area, state_museum, state_park, street_art, surfboard_rental, surfing, textile_museum, trail, waterfall, windsurfing_center, ziplining_center, zoo]"
automotive,"[aircraft_dealer, aircraft_parts_and_supplies, aircraft_repair, auto_body_shop, auto_company, auto_customization, auto_detailing, auto_electrical_repair, auto_glass_service, auto_restoration_services, auto_security, auto_upholstery, automobile_leasing, automobile_registration_service, automotive, automotive_consultant, automotive_dealer, automotive_parts_and_accessories, automotive_repair, automotive_services_and_repair, automotive_storage_facility, automotive_wheel_polishing_service, avionics_shop, boat_dealer, boat_parts_and_accessories, boat_service_and_repair, brake_service_and_repair, car_buyer, car_dealer, car_inspection, car_stereo_installation, car_stereo_store, car_wash, car_window_tinting, commercial_vehicle_dealer, diy_auto_shop, emergency_roadside_service, emissions_inspection, engine_repair_service, ev_charging_station, exhaust_and_muffler_repair, fuel_dock, gas_station, golf_cart_dealer, hybrid_car_repair, interlock_system, mobile_dent_repair, motorcycle_dealer, motorcycle_gear, motorcycle_manufacturer, motorcycle_repair, motorsport_vehicle_dealer, motorsport_vehicle_repair, motorsports_store, oil_change_station, recreation_vehicle_repair, recreational_vehicle_dealer, recreational_vehicle_parts_and_accessories, roadside_assistance, scooter_dealers, tire_dealer_and_repair, towing_service, trailer_dealer, trailer_repair, transmission_repair, truck_dealer, truck_gas_station, truck_repair, truck_stop, used_car_dealer, vehicle_shipping, vehicle_wrap, wheel_and_rim_repair, windshield_installation_and_repair]"
beauty_and_spa,"[acne_treatment, aromatherapy, barber, beauty_and_spa, beauty_salon, blow_dry_blow_out_service, day_spa, esthetician, eyebrow_service, eyelash_service, foot_care, hair_extensions, hair_loss_center, hair_removal, hair_replacement, hair_salon, hair_stylist, health_spa, image_consultant, kids_hair_salon, laser_hair_removal, makeup_artist, massage, medical_spa, nail_salon, onsen, permanent_makeup, piercing, public_bath_houses, skin_care, spas, spray_tanning, sugaring, tanning_bed, tanning_salon, tattoo, tattoo_and_piercing, teeth_whitening, threading_service, turkish_baths, waxing]"
business_to_business,"[abrasives_supplier, aggregate_supplier, agricultural_cooperatives, agricultural_engineering_service, agricultural_production, agricultural_service, agriculture, aircraft_manufacturer, airline, aluminum_supplier, apiaries_and_beekeepers, appliance_manufacturer, audio_visual_production_and_design, auto_manufacturers_and_distributors, automation_services, b2b_agriculture_and_food, b2b_apparel, b2b_autos_and_vehicles, b2b_cleaning_and_waste_management, b2b_dairies, b2b_electronic_equipment, b2b_energy_and_mining, b2b_equipment_maintenance_and_repair, b2b_farming, b2b_farms, b2b_food_products, b2b_forklift_dealers, b2b_furniture_and_housewares, b2b_hardware, b2b_jewelers, b2b_machinery_and_tools, b2b_medical_support_services, b2b_oil_and_gas_extraction_and_services, b2b_rubber_and_plastics, b2b_science_and_technology, b2b_scientific_equipment, b2b_sporting_and_recreation_goods, b2b_storage_and_warehouses, b2b_textiles, b2b_tires, b2b_tractor_dealers, b2b_truck_equipment_parts_and_accessories, background_check_services, bags_luggage_company, battery_inverter_supplier, bearing_supplier, beauty_product_supplier, beverage_supplier, biotechnology_company, boat_builder, bottled_water_company, business, business_advertising, business_equipment_and_supply, business_management_services, business_manufacturing_and_supply, business_office_supplies_and_stationery, business_records_storage_and_management, business_signage, business_storage_and_transportation, business_to_business, business_to_business_services, casting_molding_and_machining, cement_supplier, chemical_plant, cleaning_products_supplier, clinical_laboratories, clothing_company, coal_and_coke, commercial_industrial, computer_wholesaler, consultant_and_general_service, cosmetic_products_manufacturer, cotton_mill, coworking_space, crops_production, dairy_farm, dental_laboratories, direct_mail_advertising, distribution_services, domestic_business_and_trade_organizations, drinking_water_dispenser, electrical_wholesaler, electronic_parts_supplier, energy_equipment_and_solution, energy_management_and_conservation_consultants, environmental_and_ecological_services_for_businesses, environmental_conservation_and_ecological_organizations, environmental_renewable_natural_resource, executive_search_consultants, exporters, fabric_wholesaler, farm_equipment_and_supply, farming_services, fastener_supplier, ferry_boat_company, fertilizer_store, fish_farm, fish_farms_and_hatcheries, fitness_equipment_wholesaler, flour_mill, fmcg_wholesaler, food_and_beverage_exporter, food_beverage_service_distribution, food_consultant, footwear_wholesaler, forestry_consultants, freight_and_cargo_service, freight_forwarding_agency, furniture_manufacturers, furniture_wholesalers, geological_services, glass_manufacturer, grain_elevators, grain_production, granite_supplier, greengrocer, greenhouses, hospital_equipment_and_supplies, hotel_supply_service, human_resource_services, hvac_supplier, hydraulic_equipment_supplier, importer_and_exporter, importers, industrial_company, industrial_equipment, industrial_spares_and_products_wholesaler, information_technology_company, international_business_and_trade_services, inventory_control_service, iron_and_steel_industry, iron_and_steel_store, iron_work, irrigation_companies, jewelry_and_watches_manufacturer, jewelry_manufacturer, laboratory_equipment_supplier, laser_cutting_service_provider, leather_products_manufacturer, lighting_fixture_manufacturers, lingerie_wholesaler, livestock_breeder, livestock_dealers, logging_contractor, logging_equipment_and_supplies, logging_services, manufacturers_agents_and_representatives, manufacturing_and_industrial_consultant, marketing_consultant, mattress_manufacturing, meat_wholesaler, medical_research_and_development, metal_fabricator, metal_plating_service, metal_supplier, metals, mills, mining, motor_freight_trucking, newspaper_advertising, occupational_safety, oil_and_gas, oil_and_gas_exploration_and_development, oil_and_gas_field_equipment_and_services, oil_refiners, optical_wholesaler, orchards_production, outdoor_advertising, paper_mill, pharmaceutical_companies, pharmaceutical_products_wholesaler, pig_farm, pipe_supplier, pipeline_transportation, plastic_company, plastic_fabrication_company, plastic_injection_molding_workshop, plastic_manufacturer, poultry_farming, power_plants_and_power_plant_service, printing_equipment_and_supply, produce_wholesaler, promotional_products_and_services, publicity_service, quarries, radio_and_television_commercials, railroad_freight, research_institute, restaurant_equipment_and_supply, restaurant_management, restaurant_wholesale, retaining_wall_supplier, rice_mill, sand_and_gravel_supplier, saw_mill, scale_supplier, scientific_laboratories, scrap_metals, seafood_wholesaler, seal_and_hanko_dealers, secretarial_services, sheet_metal, shoe_factory, spices_wholesaler, spring_supplier, steel_fabricators, stone_supplier, surgical_appliances_and_supplies, tea_wholesaler, telecommunications_company, telemarketing_services, textile_mill, thread_supplier, threads_and_yarns_wholesaler, tobacco_company, tools_wholesaler, tower_communication_service, transcription_services, translating_and_interpreting_services, travel_company, truck_dealer_for_businesses, truck_repair_and_services_for_businesses, trucks_and_industrial_vehicles, turnery, urban_farm, vending_machine_supplier, warehouse_rental_services_and_yards, warehouses, water_softening_equipment_supplier, water_treatment_equipment_and_services, weaving_mill, wholesale_florist, wholesale_grocer, wholesaler, window_supplier, wine_wholesaler, wood_and_pulp]"
eat_and_drink,"[acai_bowls, afghan_restaurant, african_restaurant, airport_lounge, american_restaurant, arabian_restaurant, argentine_restaurant, armenian_restaurant, asian_fusion_restaurant, asian_restaurant, australian_restaurant, austrian_restaurant, azerbaijani_restaurant, bagel_restaurant, baguettes, bangladeshi_restaurant, baozi_restaurant, bar, bar_and_grill_restaurant, barbecue_restaurant, basque_restaurant, beach_bar, beer_bar, beer_garden, belarusian_restaurant, belgian_restaurant, belizean_restaurant, bistro, bolivian_restaurant, brasserie, brazilian_restaurant, breakfast_and_brunch_restaurant, brewery, british_restaurant, bubble_tea, buffet_restaurant, bulgarian_restaurant, burger_restaurant, burmese_restaurant, cafe, cafeteria, cajun_and_creole_restaurant, cambodian_restaurant, canadian_restaurant, canteen, caribbean_restaurant, catalan_restaurant, champagne_bar, cheesesteak_restaurant, chicken_restaurant, chicken_wings_restaurant, chilean_restaurant, chinese_restaurant, cidery, cigar_bar, cocktail_bar, coffee_roastery, coffee_shop, colombian_restaurant, comfort_food_restaurant, costa_rican_restaurant, cuban_restaurant, curry_sausage_restaurant, czech_restaurant, danish_restaurant, dim_sum_restaurant, diner, dive_bar, diy_foods_restaurant, dog_meat_restaurant, dominican_restaurant, doner_kebab, drive_thru_bar, dumpling_restaurant, eastern_european_restaurant, eat_and_drink, ecuadorian_restaurant, egyptian_restaurant, empanadas, ethiopian_restaurant, european_restaurant, falafel_restaurant, fast_food_restaurant, filipino_restaurant, fischbrotchen_restaurant, fish_and_chips_restaurant, fish_restaurant, flatbread_restaurant, fondue_restaurant, food_court, french_restaurant, gastropub, gay_bar, georgian_restaurant, german_restaurant, gluten_free_restaurant, greek_restaurant, guamanian_restaurant, guatemalan_restaurant, haitian_restaurant, halal_restaurant, haute_cuisine_restaurant, hawaiian_restaurant, health_food_restaurant, himalayan_nepalese_restaurant, honduran_restaurant, hong_kong_style_cafe, hookah_bar, hot_dog_restaurant, hotel_bar, hungarian_restaurant, iberian_restaurant, indian_restaurant, indo_chinese_restaurant, indonesian_restaurant, international_restaurant, irish_pub, irish_restaurant, israeli_restaurant, italian_restaurant, jamaican_restaurant, japanese_restaurant, jewish_restaurant, kofta_restaurant, kombucha, korean_restaurant, kosher_restaurant, kurdish_restaurant, laotian_restaurant, latin_american_restaurant, lebanese_restaurant, live_and_raw_food_restaurant, lounge, malaysian_restaurant, meat_restaurant, meatball_restaurant, mediterranean_restaurant, mexican_restaurant, middle_eastern_restaurant, milk_bar, milkshake_bar, molecular_gastronomy_restaurant, mongolian_restaurant, moroccan_restaurant, nasi_restaurant, nicaraguan_restaurant, nigerian_restaurant, noodles_restaurant, norwegian_restaurant, oriental_restaurant, pakistani_restaurant, pan_asian_restaurant, panamanian_restaurant, pancake_house, paraguayan_restaurant, persian_iranian_restaurant, peruvian_restaurant, piadina_restaurant, piano_bar, pigs_trotters_restaurant, pizza_restaurant, poke_restaurant, polish_restaurant, polynesian_restaurant, pop_up_restaurant, portuguese_restaurant, potato_restaurant, poutinerie_restaurant, pub, puerto_rican_restaurant, restaurant, romanian_restaurant, rotisserie_chicken_restaurant, russian_restaurant, sake_bar, salad_bar, salvadoran_restaurant, scandinavian_restaurant, schnitzel_restaurant, scottish_restaurant, seafood_restaurant, senegalese_restaurant, serbo_croatian_restaurant, singaporean_restaurant, slovakian_restaurant, smoothie_juice_bar, soul_food, soup_restaurant, south_african_restaurant, southern_restaurant, spanish_restaurant, speakeasy, sports_bar, sri_lankan_restaurant, steakhouse, sugar_shack, supper_club, sushi_restaurant, swiss_restaurant, syrian_restaurant, tabac, taco_restaurant, taiwanese_restaurant, tapas_bar, tatar_restaurant, tea_room, texmex_restaurant, thai_restaurant, theme_restaurant, tiki_bar, trinidadian_restaurant, turkish_restaurant, ukrainian_restaurant, uruguayan_restaurant, uzbek_restaurant, vegan_restaurant, vegetarian_restaurant, venezuelan_restaurant, venison_restaurant, vermouth_bar, vietnamese_restaurant, waffle_restaurant, whiskey_bar, wild_game_meats_restaurant, wine_bar, wok_restaurant, wrap_restaurant]"
education,"[adult_education, archaeological_services, architecture_schools, art_school, bartending_school, board_of_education_offices, business_schools, campus_building, charter_school, cheerleading, cheese_tasting_classes, childbirth_education, circus_school, civil_examinations_academy, college_counseling, college_university, computer_coaching, cooking_school, cosmetology_school, cpr_classes, dentistry_schools, drama_school, driving_school, dui_school, education, educational_camp, educational_research_institute, educational_services, elementary_school, engineering_schools, firearm_training, first_aid_class, flight_school, food_safety_training, high_school, language_school, law_schools, massage_school, medical_school, medical_sciences_schools, middle_school, montessori_school, music_school, nursing_school, parenting_classes, pharmacy_schools, photography_classes, preschool, private_school, private_tutor, public_school, religious_school, school, school_district_offices, science_schools, specialty_school, speech_training, sports_school, student_union, tasting_classes, test_preparation, traffic_school, tutoring_center, veterinary_schools, vocational_and_technical_school, waldorf_school, wine_tasting_classes]"
financial_service,"[accountant, atms, auto_insurance, auto_loan_provider, bank_credit_union, banks, brokers, business_banking_service, business_brokers, business_financing, check_cashing_payday_loans, coin_dealers, collection_agencies, credit_and_debt_counseling, credit_union, currency_exchange, debt_relief_services, farm_insurance, fidelity_and_surety_bonds, financial_advising, financial_service, holding_companies, home_and_rental_insurance, installment_loans, insurance_agency, investing, investment_management_company, life_insurance, money_transfer_services, mortgage_lender, stock_and_bond_brokers, tax_services, trusts]"
